experiment_accession,experiment_alias,experiment_title,biosample_accession,run_accession,bytes,spots,library,assay_type,sample,lab_host
SRX25195615,hammerhead_Brain_a2_r2,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692571,187633804,2951666,Hammerhead,Biodistribution,Brain,Mus musculus
SRX25195614,hammerhead_Brain_a2_r1,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692572,213629799,3429470,Hammerhead,Biodistribution,Brain,Mus musculus
SRX25195613,hammerhead_Brain_a1_r3,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692573,134656748,2169647,Hammerhead,Biodistribution,Brain,Mus musculus
SRX25195612,hammerhead_Brain_a1_r2,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692574,180770084,2890580,Hammerhead,Biodistribution,Brain,Mus musculus
SRX25195611,hammerhead_Brain_a1_r1,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692575,248717916,3967992,Hammerhead,Biodistribution,Brain,Mus musculus
SRX25195610,hammerhead_SpinalCord_a4_r3,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692576,505827290,8172607,Hammerhead,Biodistribution,Spinal cord,Mus musculus
SRX25195609,hammerhead_SpinalCord_a4_r2,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692577,287885967,4624593,Hammerhead,Biodistribution,Spinal cord,Mus musculus
SRX25195608,hammerhead_SpinalCord_a4_r1,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692578,252785813,4046360,Hammerhead,Biodistribution,Spinal cord,Mus musculus
SRX25195607,hammerhead_SpinalCord_a3_r3,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692579,192850861,3067292,Hammerhead,Biodistribution,Spinal cord,Mus musculus
SRX25195606,KC-Virus2-Shark2_1,Shark2 modeling library virus DNA,SRS21884657,SRR29692580,697214461,12114248,shark2,Virus DNA,,Homo sapiens HEK293 cells
SRX25195605,hammerhead_SpinalCord_a3_r2,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692581,161202394,2525917,Hammerhead,Biodistribution,Spinal cord,Mus musculus
SRX25195604,hammerhead_SpinalCord_a3_r1,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692582,176196482,2779944,Hammerhead,Biodistribution,Spinal cord,Mus musculus
SRX25195603,hammerhead_SpinalCord_a2_r3,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692583,204858070,3193319,Hammerhead,Biodistribution,Spinal cord,Mus musculus
SRX25195602,hammerhead_SpinalCord_a2_r2,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692584,279012975,4407374,Hammerhead,Biodistribution,Spinal cord,Mus musculus
SRX25195601,hammerhead_SpinalCord_a2_r1,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692585,260707964,4210390,Hammerhead,Biodistribution,Spinal cord,Mus musculus
SRX25195600,hammerhead_SpinalCord_a1_r3,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692586,111186595,1787085,Hammerhead,Biodistribution,Spinal cord,Mus musculus
SRX25195599,hammerhead_SpinalCord_a1_r2,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692587,257692062,4127521,Hammerhead,Biodistribution,Spinal cord,Mus musculus
SRX25195598,hammerhead_SpinalCord_a1_r1,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692588,211081225,3358864,Hammerhead,Biodistribution,Spinal cord,Mus musculus
SRX25195597,hammerhead_Lung_a4_r3,Hammerhead library mouse lung biodistribution,SRS21884666,SRR29692589,366740662,5875147,Hammerhead,Biodistribution,Lung,Mus musculus
SRX25195596,Octo_BioD-A4_Liver_1,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692462,128163768,2011129,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195595,Octo_BioD-A3_Liver_3,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692590,177350755,2779189,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195594,Octo_BioD-A3_Liver_2,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692591,191806798,3004125,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195593,Octo_BioD-A3_Liver_1,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692592,242531642,3789732,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195592,Octo_BioD-A2_Liver_3,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692593,138882115,2181853,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
SRX25195591,Octo_BioD-A2_Liver_2,Multifunction library mouse liver biodistribution,SRS21884671,SRR29692594,81620979,1276571,Multifunction,Biodistribution,liver (mouse) - biodistribution,Mus musculus
